# Oura Ring Event Export
# Timestamp: Sun Jan 11 23:51:16 GMT+01:00 2026
# Events: 184
#
# Format: index|tag_hex|hex_data
#
0|0x41|API_RING_START_IND|41125a2600001000000032020706010001020000
1|0x46|API_TEMP_EVENT|460a52470000bd0b1c0c0b0a
2|0x46|API_TEMP_EVENT|460aaa490000bf0b1c0c0c0a
3|0x5b|API_BLE_CONNECTION_IND|5b10e24a000002000a00000013180005f003
4|0x5b|API_BLE_CONNECTION_IND|5b11e34a000004fb001b00300000003b000000
5|0x5b|API_BLE_CONNECTION_IND|5b0fe44a000005e50900000c000f003d00
6|0x46|API_TEMP_EVENT|460a024c0000a10b130cee09
7|0x46|API_TEMP_EVENT|460a5a4e00007a0bb80bc609
8|0x46|API_TEMP_EVENT|460ab2500000570bb80ba409
9|0x46|API_TEMP_EVENT|460a0a5300003c0b9f0b8a09
10|0x46|API_TEMP_EVENT|460a62550000240b540b6f09
11|0x46|API_TEMP_EVENT|460aba570000110b540b5c09
12|0x46|API_TEMP_EVENT|460a125a0000050b540b5809
13|0x46|API_TEMP_EVENT|460a6a5c0000fc0a540b4709
14|0x46|API_TEMP_EVENT|460ac25e0000190b540b6809
15|0x46|API_TEMP_EVENT|460a1a610000390b540b8d09
16|0x46|API_TEMP_EVENT|460a72630000560bb30ba509
17|0x46|API_TEMP_EVENT|460aca650000700bb80bc709
18|0x46|API_TEMP_EVENT|460a22680000860bb80bd609
19|0x46|API_TEMP_EVENT|460a7a6a00008d0bb80bdf09
20|0x46|API_TEMP_EVENT|460ad26c00008f0bb80be309
21|0x5b|API_BLE_CONNECTION_IND|5b0e0d6d000003024f3cacf1747e0000
22|0x46|API_TEMP_EVENT|460a2a6f0000a20bfe0bf509
23|0x69|API_TEMP_PERIOD|69062b6f0000c00b
24|0x45|API_STATE_CHANGE_IND|4511c6700000016368672e2073746f70706564
25|0x45|API_STATE_CHANGE_IND|4510d3700000026f7269656e746174696f6e
26|0x45|API_STATE_CHANGE_IND|45080771000003353732
27|0x53|API_WEAR_EVENT|53080871000003353732
28|0x6c|API_FEATURE_SESSION|6c083871000002010400
29|0x45|API_STATE_CHANGE_IND|450e3b71000005687220656e61626c65
30|0x80|API_GREEN_IBI_QUALITY_EVENT|8012e17100006e046e1b6f1f711a74093e107f0d
31|0x46|API_TEMP_EVENT|460aff710000c90b320c140a
32|0x80|API_GREEN_IBI_QUALITY_EVENT|80120b7200005f1466095f195e1e5e1b5e195d1e
33|0x47|API_MOTION_EVENT|470918720000792f2c520d
34|0x80|API_GREEN_IBI_QUALITY_EVENT|801236720000630e670f6f1c5d0f620965bc67bc
35|0x80|API_GREEN_IBI_QUALITY_EVENT|80128a72000068ab6c6c6b4a6b2c6d4b6d496f2f
36|0x80|API_GREEN_IBI_QUALITY_EVENT|8012db7200006e2c6a0f740e6910dcb0fa30ac11
37|0x80|API_GREEN_IBI_QUALITY_EVENT|80120d7300006f726d8c7e3f7b19620b6209734f
38|0x80|API_GREEN_IBI_QUALITY_EVENT|8012407300006c0f6e0b50125c0b4c7b4c3f5d2c
39|0x47|API_MOTION_EVENT|470944730000584c224606
40|0x80|API_GREEN_IBI_QUALITY_EVENT|8010a9730000510a550d5b7b583c4d2c6c12
41|0x82|API_SCAN_START|8209ad7300000305000102
42|0x46|API_TEMP_EVENT|460a577400002b0dac0d5c0b
