# Oura Ring Event Export
# Events: 1015
# Format: index|tag_hex|event_name|hex_data
0|0x46|API_TEMP_EVENT|460aeeeb0b00ca0b1c0c1a0a
1|0x46|API_TEMP_EVENT|460a46ee0b00c90b1c0c1a0a
2|0x46|API_TEMP_EVENT|460a9ef00b00ca0b1c0c1b0a
3|0x46|API_TEMP_EVENT|460af6f20b00ca0b1c0c1f0a
4|0x46|API_TEMP_EVENT|460a4ef50b00ca0b1c0c190a
5|0x46|API_TEMP_EVENT|460aa6f70b00ca0b1c0c190a
6|0x46|API_TEMP_EVENT|460afef90b00ca0b1c0c1f0a
7|0x61|API_MEAS_QUALITY_EVENT|611217fa0b00140664e00ffbffffffd944000046
8|0x46|API_TEMP_EVENT|460a56fc0b00c80b1c0c160a
9|0x46|API_TEMP_EVENT|460aaefe0b00c90b1c0c1e0a
10|0x46|API_TEMP_EVENT|460a06010c00c80b1c0c1a0a
11|0x46|API_TEMP_EVENT|460a5e030c00c60b1c0c130a
12|0x46|API_TEMP_EVENT|460ab6050c00c50b1c0c170a
13|0x46|API_TEMP_EVENT|460a0e080c00c50b1c0c0e0a
14|0x46|API_TEMP_EVENT|460a660a0c00c30b1c0c0d0a
15|0x46|API_TEMP_EVENT|460abe0c0c00c20b1c0c120a
16|0x46|API_TEMP_EVENT|460a160f0c00c20b1c0c130a
17|0x46|API_TEMP_EVENT|460a6e110c00c20b1c0c0f0a
18|0x61|API_MEAS_QUALITY_EVENT|611287110c00140664dd0ffbffffffd944000046
19|0x46|API_TEMP_EVENT|460ac6130c00c00b1c0c0f0a
20|0x46|API_TEMP_EVENT|460a1e160c00c00b1c0c140a
21|0x46|API_TEMP_EVENT|460a76180c00c00b1c0c120a
22|0x46|API_TEMP_EVENT|460ace1a0c00bf0b1c0c0b0a
23|0x46|API_TEMP_EVENT|460a261d0c00bf0b1c0c0d0a
24|0x46|API_TEMP_EVENT|460a7e1f0c00bf0b1c0c0f0a
25|0x46|API_TEMP_EVENT|460ad6210c00bd0b1c0c070a
26|0x46|API_TEMP_EVENT|460a2e240c00ba0b1c0c040a
27|0x46|API_TEMP_EVENT|460a86260c00b70b1c0c080a
28|0x46|API_TEMP_EVENT|460ade280c00b60b1c0c070a
29|0x61|API_MEAS_QUALITY_EVENT|6112f7280c00140664dc0ffcffffffd944000045
30|0x46|API_TEMP_EVENT|460a362b0c00b70b1c0c040a
31|0x69|API_SLEEP_SUMMARY_2|6906372b0c00ca0b
